neuron_id,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
1244,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SIR,59.63467757148263,1.914788128428764,0.7977522929059322
1245,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SIR,23.868134534096868,0.8770133888187497,0.9917321841787642
1246,hamilton_18,citalopram_discontinuation,HAMILTON,DIS,SR,88.71078823609511,,0.8527483759679493
1247,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,68.72419797783667,,0.5453961308524738
1249,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,67.33644469035036,,
1250,hamilton_23,citalopram_continuation,HAMILTON,CIT,SIR,60.44416219597264,1.4948899902433384,0.9848478696057036
1251,hamilton_23,citalopram_continuation,HAMILTON,CIT,SIR,,0.5060244586110727,1.0057653107562403
1254,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,,,
1255,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,70.7901708419472,0.511994413974556,0.5036670492028643
1258,hamilton_23,citalopram_continuation,HAMILTON,CIT,SIR,,,1.057610915744066
1260,hamilton_23,citalopram_continuation,HAMILTON,CIT,FF,,,0.1364877689954706
1261,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,50.24644682208671,3.766122762645145,0.2187249001752738
1263,hamilton_23,citalopram_continuation,HAMILTON,CIT,SIR,48.24326152319583,0.5844884967427568,0.8496775393662221
1264,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,59.673468302108944,3.0999445841434587,0.6305569863121749
1265,hamilton_23,citalopram_continuation,HAMILTON,CIT,SIR,57.12474199318331,1.370948195922866,0.7267237776618599
1266,hamilton_23,citalopram_continuation,HAMILTON,CIT,SIR,54.93749234922132,1.4135058743171989,0.9620442396057716
1267,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,38.893365162362045,1.581831980837234,0.4410816057884112
1269,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,45.32809445062392,3.669564163507699,0.2518371460167101
1270,hamilton_23,citalopram_continuation,HAMILTON,CIT,SR,71.56378035111166,2.795124245244044,0.672175200800256
1271,hamilton_23,citalopram_continuation,HAMILTON,CIT,SIR,27.75146715302961,,0.805863407329398
1272,hamilton_23,citalopram_continuation,HAMILTON,CIT,SIR,44.27037310561238,3.010297262949871,0.7070644698720641
