neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,response_second_window
1146,169.0,31.0,0.1419446235828671,-0.1512829998913259,-0.293227623474193,2872.0,4.078289255003047,False,non responder
1148,169.0,31.0,-0.9850586895146055,-1.8415617386568934,-0.8565030491422879,3489.0,0.1057582773190626,False,non responder
1149,169.0,31.0,0.1681328368377506,0.3080060798459553,0.1398732430082047,2309.5,4.2934034417710425,False,non responder
1150,169.0,31.0,0.16218531411351794,0.19648467090703983,0.03429935679352189,2635.0,7.691957110699791,False,non responder
1151,169.0,31.0,0.14068782536832666,1.0584977835193112,0.9178099581509845,1684.0,0.05652392655492907,False,non responder
1152,169.0,31.0,0.10313695369298023,0.5417381255033829,0.4386011718104026,2061.0,1.3130675531628717,False,non responder
1153,169.0,31.0,0.07718084210540183,-0.04291046504609072,-0.12009130715149255,2699.5,6.350505729639714,False,non responder
1154,169.0,31.0,0.38788526667356804,0.5996879322029116,0.21180266552934357,2143.5,1.9132057618869405,False,non responder
1157,169.0,31.0,0.8255264032522748,1.1395062036462043,0.3139798003939295,2077.0,1.41589793978469,False,non responder
1159,169.0,31.0,0.08229565419082784,0.18558134236381735,0.10328568817298951,2446.0,5.50812360530483,False,non responder
1166,169.0,31.0,1.28780879086006,-0.16237722516119624,-1.4501860160212563,3091.5,1.9132057618869405,False,non responder
1168,169.0,31.0,1.1043732101991999,0.6416919647498527,-0.4626812454493472,2696.5,6.848819757132222,False,non responder
1173,169.0,31.0,-0.08021390202709167,0.26172247217531924,0.3419363742024109,2147.5,1.8546971269295793,False,non responder
1175,169.0,31.0,0.0018441158759913427,-0.4962019151144921,-0.49804603099048345,2980.0,3.4623564012118937,False,non responder
1176,169.0,31.0,0.16983743771594523,0.3733900386830223,0.20355260096707706,2409.0,4.819949972438089,False,non responder
1178,169.0,31.0,0.019418433424900156,0.3930636877851545,0.3736452543602543,2226.0,3.056509765248025,False,non responder
1179,169.0,31.0,-0.9029757231992953,-0.7922237748481179,0.11075194835117741,2733.0,6.350505729639714,False,non responder
1180,169.0,31.0,-0.2553501987388888,-0.45712825066058577,-0.20177805192169695,2775.0,0.7593972204723511,False,non responder
1181,169.0,31.0,2.902680562518277,-0.14542156198382652,-3.0481021245021034,3063.5,0.17890427246071797,False,non responder
1182,169.0,31.0,0.6566364477600816,0.4977784157806666,-0.15885803197941495,2713.5,1.553728083299599,False,non responder
1183,169.0,31.0,0.08805498113689927,0.08449326975057501,-0.0035617113863242594,2640.5,0.9548365685132075,False,non responder
1184,169.0,31.0,-0.005692816012580455,0.6675486064543174,0.6732414224668978,1796.5,0.010638198229980826,True,activated
