neuron_id,oscillation,mean_angle,var,p,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
1604,delta,0.27,0.98,0.32,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,54.76302491456602,2.5261402952713343,0.8621896042999141
1604,theta,2.56,0.94,0.05,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,54.76302491456602,2.5261402952713343,0.8621896042999141
1605,delta,-1.27,0.96,0.08,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,64.73806767175148,1.6108587296931307,0.909054967737502
1605,theta,2.78,0.88,0.0,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,64.73806767175148,1.6108587296931307,0.909054967737502
1606,delta,-2.15,0.98,0.61,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,53.98634598264928,1.1463002754601694,0.9469900303001744
1606,theta,2.89,0.9,0.0,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,53.98634598264928,1.1463002754601694,0.9469900303001744
1608,delta,2.53,0.92,0.79,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,,,0.6115508047964204
1608,theta,2.69,0.74,0.49,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,,,0.6115508047964204
1609,delta,-0.31,0.98,0.23,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,55.46231557349989,2.82906074952154,0.2198551357024541
1609,theta,2.7,0.91,0.0,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,55.46231557349989,2.82906074952154,0.2198551357024541
1610,delta,-0.47,0.97,0.02,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,56.21720479302888,4.805728155845193,0.8730449480572695
1610,theta,2.08,0.92,0.0,hamilton_20,citalopram_continuation,HAMILTON,CIT,SIR,56.21720479302888,4.805728155845193,0.8730449480572695
1611,delta,0.41,0.96,0.16,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,61.79707768776686,2.12184796117355,0.4876948843985294
1611,theta,2.22,0.93,0.19,hamilton_20,citalopram_continuation,HAMILTON,CIT,SR,61.79707768776686,2.12184796117355,0.4876948843985294
2004,delta,-2.78,0.91,0.21,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,42.55757219780818,,0.9767767597864112
2004,theta,2.7,0.93,0.28,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,42.55757219780818,,0.9767767597864112
2005,delta,2.8,0.91,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,53.95818281415205,2.7492322475195854,0.4352259040431697
2005,theta,1.94,0.97,0.21,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,53.95818281415205,2.7492322475195854,0.4352259040431697
2006,delta,3.12,0.65,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,,1.003977431008866
2006,theta,-1.55,0.99,0.94,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,,1.003977431008866
2009,delta,2.76,0.82,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,63.98766828016366,2.1582492876289567,0.4873828814492273
2009,theta,1.38,0.89,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,63.98766828016366,2.1582492876289567,0.4873828814492273
2010,delta,-3.08,0.94,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,52.42593562749087,3.3341815895650866,0.4469309913909569
2010,theta,2.19,0.97,0.06,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,52.42593562749087,3.3341815895650866,0.4469309913909569
2014,delta,-2.81,0.86,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,56.92479565779957,1.811535515123072,0.6446137566835717
2014,theta,-2.08,0.81,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,56.92479565779957,1.811535515123072,0.6446137566835717
2016,delta,-2.0,0.87,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,FF,34.33354312763035,9.1894746840147,0.5187094355309023
2016,theta,1.83,0.95,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,FF,34.33354312763035,9.1894746840147,0.5187094355309023
2017,delta,-1.83,0.92,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,34.18454256935843,2.335371460971767,0.6799540916229525
2017,theta,1.14,0.94,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,34.18454256935843,2.335371460971767,0.6799540916229525
2018,delta,-1.67,0.67,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,29.523466510744854,1.2784036798541814,0.7593614915404503
2018,theta,0.31,0.91,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,29.523466510744854,1.2784036798541814,0.7593614915404503
