neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,fs_fast_response
2198,184.0,16.0,0.01,-0.29,-0.31,1815.5,0.14,False,non responder
2200,184.0,16.0,-0.02,-0.82,-0.8,2235.0,0.0,True,inhibited
2202,184.0,16.0,0.62,-0.87,-1.49,2103.5,0.01,True,inhibited
2208,184.0,16.0,-0.2,-1.9,-1.7,2836.0,0.0,True,inhibited
2211,184.0,16.0,0.0,-1.73,-1.73,2567.5,0.0,True,inhibited
2212,184.0,16.0,0.2,-0.68,-0.88,2166.5,0.0,True,inhibited
2213,184.0,16.0,-0.09,-1.26,-1.18,2448.5,0.0,True,inhibited
2214,184.0,16.0,0.01,-2.54,-2.55,2854.5,0.0,True,inhibited
2217,184.0,16.0,-0.1,-1.0,-0.9,2351.5,0.0,True,inhibited
2220,184.0,16.0,0.2,-0.3,-0.49,1974.5,0.03,True,inhibited
2222,184.0,16.0,0.21,-1.92,-2.13,2827.5,0.0,True,inhibited
2225,184.0,16.0,-0.23,-2.78,-2.55,2893.5,0.0,True,inhibited
2233,184.0,16.0,0.42,-3.42,-3.85,2901.5,0.0,True,inhibited
2235,184.0,16.0,0.4,0.35,-0.05,1131.0,0.14,False,non responder
2236,184.0,16.0,0.31,1.81,1.5,592.5,0.0,True,activated
2241,184.0,16.0,0.03,0.91,0.88,941.5,0.02,True,activated
2242,184.0,16.0,-0.16,0.72,0.89,929.5,0.02,True,activated
2243,184.0,16.0,0.14,0.67,0.53,1176.0,0.11,False,non responder
2244,184.0,16.0,0.31,3.12,2.82,177.0,0.0,True,activated
2246,184.0,16.0,-0.32,-0.12,0.2,1327.0,0.54,False,non responder
2247,184.0,16.0,0.37,1.47,1.1,844.5,0.01,True,activated
2248,184.0,16.0,1.5,5.21,3.71,393.5,0.0,True,activated
2249,184.0,16.0,-0.08,-0.53,-0.44,1884.5,0.07,False,non responder
2250,184.0,16.0,0.25,3.14,2.9,263.5,0.0,True,activated
2251,184.0,16.0,0.37,0.73,0.37,1199.0,0.24,False,non responder
2252,184.0,16.0,0.16,0.15,-0.01,1736.5,0.25,False,non responder
2260,184.0,16.0,0.17,0.91,0.74,1075.0,0.08,False,non responder
2266,184.0,16.0,0.1,-0.14,-0.25,1760.0,0.21,False,non responder
2270,184.0,16.0,2.57,6.96,4.39,288.5,0.0,True,activated
2271,184.0,16.0,0.75,4.54,3.79,346.0,0.0,True,activated
2278,184.0,16.0,-0.33,1.27,1.6,383.5,0.0,True,activated
2279,184.0,16.0,0.56,8.04,7.48,81.0,0.0,True,activated
2280,184.0,16.0,0.23,1.45,1.23,742.5,0.0,True,activated
2281,184.0,16.0,0.25,-0.1,-0.35,1624.0,0.5,False,non responder
2282,184.0,16.0,0.35,1.82,1.46,589.0,0.0,True,activated
2283,184.0,16.0,-0.09,-2.23,-2.15,2618.0,0.0,True,inhibited
2284,184.0,16.0,0.14,1.0,0.86,848.0,0.01,True,activated
2285,184.0,16.0,-0.46,-3.82,-3.36,2931.0,0.0,True,inhibited
2287,184.0,16.0,0.34,-2.3,-2.64,2798.0,0.0,True,inhibited
