A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,div_inv,response,session_name,neuron_type
2Shock,3Post,0.81,1.23,-0.42,0.08,-5.44,0.0,-0.31,2079,0.42,0.0,True,0.42,activated,hamilton_28,SR
2Shock,3Post,1.03,-0.66,1.69,0.06,26.14,0.0,1.51,2081,-1.69,0.0,True,-1.69,inhibited,hamilton_28,FF
2Shock,3Post,0.55,-0.04,0.59,0.05,10.98,0.0,0.63,2082,-0.59,0.0,True,-0.59,inhibited,hamilton_28,SR
2Shock,3Post,-0.47,0.13,-0.6,0.05,-12.45,0.0,-0.72,2083,0.6,0.0,True,0.6,activated,hamilton_28,SIR
2Shock,3Post,0.89,-0.78,1.68,0.06,27.99,0.0,1.62,2084,-1.68,0.0,True,-1.68,inhibited,hamilton_28,SIR
2Shock,3Post,-0.14,-0.55,0.41,0.05,8.82,0.0,0.51,2087,-0.41,0.0,True,-0.41,inhibited,hamilton_28,SIR
2Shock,3Post,0.05,-0.17,0.22,0.05,4.03,0.0,0.23,2091,-0.22,0.0,True,-0.22,inhibited,hamilton_28,SIR
2Shock,3Post,1.63,0.05,1.59,0.08,19.45,0.0,1.12,2099,-1.59,0.0,True,-1.59,inhibited,hamilton_28,SIR
2Shock,3Post,2.63,0.25,2.38,0.06,38.51,0.0,2.22,2101,-2.38,0.0,True,-2.38,inhibited,hamilton_28,SIR
2Shock,3Post,0.15,0.24,-0.09,0.06,-1.45,0.32,-0.08,2102,0.09,0.34,False,0.09,non responder,hamilton_28,SR
2Shock,3Post,2.7,9.91,-7.21,0.17,-42.41,0.0,-2.45,2103,7.21,0.0,True,7.21,activated,hamilton_28,SIR
2Shock,3Post,0.76,0.02,0.74,0.05,15.62,0.0,0.9,2104,-0.74,0.0,True,-0.74,inhibited,hamilton_28,SIR
2Shock,3Post,2.81,0.49,2.32,0.08,29.04,0.0,1.68,2107,-2.32,0.0,True,-2.32,inhibited,hamilton_28,SR
2Shock,3Post,2.55,0.19,2.36,0.06,41.43,0.0,2.39,2108,-2.36,0.0,True,-2.36,inhibited,hamilton_28,SIR
2Shock,3Post,1.4,-0.14,1.54,0.04,34.33,0.0,1.98,2111,-1.54,0.0,True,-1.54,inhibited,hamilton_28,SIR
2Shock,3Post,1.82,0.66,1.16,0.07,17.66,0.0,1.02,2112,-1.16,0.0,True,-1.16,inhibited,hamilton_28,SIR
2Shock,3Post,0.88,1.06,-0.18,0.07,-2.55,0.03,-0.15,2120,0.18,0.03,False,0.18,non responder,hamilton_28,SIR
2Shock,3Post,2.19,-0.0,2.19,0.08,28.11,0.0,1.62,2125,-2.19,0.0,True,-2.19,inhibited,hamilton_28,SIR
2Shock,3Post,-0.21,-0.89,0.67,0.05,12.48,0.0,0.72,2126,-0.67,0.0,True,-0.67,inhibited,hamilton_28,SR
2Shock,3Post,1.75,1.58,0.17,0.08,2.08,0.09,0.12,2127,-0.17,0.11,False,-0.17,non responder,hamilton_28,SIR
2Shock,3Post,-0.25,0.86,-1.11,0.07,-16.6,0.0,-0.96,2128,1.11,0.0,True,1.11,activated,hamilton_28,SIR
2Shock,3Post,3.33,0.57,2.76,0.08,32.73,0.0,1.89,2130,-2.76,0.0,True,-2.76,inhibited,hamilton_28,SR
2Shock,3Post,-1.09,-0.69,-0.4,0.06,-6.27,0.0,-0.36,2135,0.4,0.0,True,0.4,activated,hamilton_29,SR
2Shock,3Post,-0.46,-0.58,0.12,0.04,2.9,0.01,0.17,2136,-0.12,0.01,False,-0.12,non responder,hamilton_29,SIR
2Shock,3Post,0.58,-0.56,1.14,0.05,21.42,0.0,1.24,2137,-1.14,0.0,True,-1.14,inhibited,hamilton_29,SR
2Shock,3Post,-0.35,-0.64,0.3,0.05,5.76,0.0,0.33,2138,-0.3,0.0,True,-0.3,inhibited,hamilton_29,SIR
2Shock,3Post,-0.43,-0.67,0.23,0.04,5.52,0.0,0.32,2139,-0.23,0.0,True,-0.23,inhibited,hamilton_29,SIR
2Shock,3Post,0.37,-0.75,1.13,0.06,18.78,0.0,1.08,2144,-1.13,0.0,True,-1.13,inhibited,hamilton_29,SIR
2Shock,3Post,-1.33,-0.87,-0.45,0.05,-10.06,0.0,-0.58,2147,0.45,0.0,True,0.45,activated,hamilton_29,SR
2Shock,3Post,-0.78,-0.68,-0.1,0.06,-1.63,0.23,-0.09,2152,0.1,0.25,False,0.1,non responder,hamilton_29,SIR
2Shock,3Post,-0.71,-1.42,0.71,0.05,14.11,0.0,0.81,2155,-0.71,0.0,True,-0.71,inhibited,hamilton_29,SIR
2Shock,3Post,-0.04,-0.99,0.96,0.07,14.34,0.0,0.83,2162,-0.96,0.0,True,-0.96,inhibited,hamilton_29,SR
2Shock,3Post,-0.59,-0.82,0.24,0.04,5.71,0.0,0.33,2165,-0.24,0.0,True,-0.24,inhibited,hamilton_29,SIR
2Shock,3Post,0.32,0.45,-0.13,0.08,-1.72,0.2,-0.1,2166,0.13,0.22,False,0.13,non responder,hamilton_29,SIR
2Shock,3Post,-0.42,-0.57,0.14,0.05,3.15,0.0,0.18,2173,-0.14,0.01,False,-0.14,non responder,hamilton_29,SIR
2Shock,3Post,-0.45,-0.24,-0.21,0.05,-4.26,0.0,-0.25,2174,0.21,0.0,True,0.21,activated,hamilton_29,SIR
2Shock,3Post,-1.28,-1.7,0.42,0.06,6.52,0.0,0.38,2176,-0.42,0.0,True,-0.42,inhibited,hamilton_29,SR
2Shock,3Post,-0.58,-0.99,0.41,0.06,7.04,0.0,0.41,2177,-0.41,0.0,True,-0.41,inhibited,hamilton_29,SIR
2Shock,3Post,0.97,-0.4,1.38,0.05,26.67,0.0,1.54,2178,-1.38,0.0,True,-1.38,inhibited,hamilton_29,SIR
2Shock,3Post,-0.49,-0.69,0.21,0.04,4.8,0.0,0.28,2181,-0.21,0.0,True,-0.21,inhibited,hamilton_29,SIR
2Shock,3Post,2.06,1.43,0.62,0.07,9.33,0.0,0.54,2183,-0.62,0.0,True,-0.62,inhibited,hamilton_29,FF
2Shock,3Post,-1.28,-1.38,0.1,0.03,2.87,0.01,0.17,2184,-0.1,0.01,False,-0.1,non responder,hamilton_29,SIR
2Shock,3Post,-0.06,-1.04,0.98,0.06,17.29,0.0,1.0,2185,-0.98,0.0,True,-0.98,inhibited,hamilton_29,SIR
2Shock,3Post,0.74,0.0,0.74,0.06,12.54,0.0,0.72,2186,-0.74,0.0,True,-0.74,inhibited,hamilton_29,SR
2Shock,3Post,0.18,-0.22,0.4,0.06,7.32,0.0,0.42,2187,-0.4,0.0,True,-0.4,inhibited,hamilton_29,SIR
2Shock,3Post,0.32,-0.23,0.54,0.06,9.63,0.0,0.56,2188,-0.54,0.0,True,-0.54,inhibited,hamilton_29,SIR
2Shock,3Post,-0.7,-0.97,0.27,0.04,6.33,0.0,0.37,2189,-0.27,0.0,True,-0.27,inhibited,hamilton_29,SIR
2Shock,3Post,0.54,-0.06,0.6,0.05,11.1,0.0,0.64,2191,-0.6,0.0,True,-0.6,inhibited,hamilton_29,SR
2Shock,3Post,0.03,0.35,-0.31,0.06,-5.59,0.0,-0.32,2192,0.31,0.0,True,0.31,activated,hamilton_29,SIR
2Shock,3Post,-0.74,-1.0,0.26,0.05,4.86,0.0,0.28,2193,-0.26,0.0,True,-0.26,inhibited,hamilton_30,SIR
2Shock,3Post,-0.29,-0.13,-0.16,0.05,-3.11,0.01,-0.18,2198,0.16,0.01,False,0.16,non responder,hamilton_30,SIR
2Shock,3Post,0.36,0.02,0.34,0.06,5.43,0.0,0.31,2200,-0.34,0.0,True,-0.34,inhibited,hamilton_30,SIR
