neuron_id,n_sw,n_act,Mean_sw,Mean_act,Diff,U,p,sig,Diff_raw
1188,1275.0,524.0,-0.02,0.04,0.06,329410.0,0.48,False,0.05
1189,1275.0,524.0,-0.01,0.01,0.02,338514.0,0.57,False,0.02
1190,1275.0,524.0,-0.17,0.41,0.58,230849.0,0.0,True,0.5
1191,1275.0,524.0,-0.04,0.09,0.12,318289.0,0.13,False,0.24
1192,1275.0,524.0,-0.04,0.09,0.12,309889.0,0.02,True,0.22
1193,1275.0,524.0,-0.03,0.08,0.11,313383.5,0.05,True,0.23
1194,1275.0,524.0,-0.1,0.25,0.35,274652.0,0.0,True,0.44
1195,1275.0,524.0,0.19,-0.47,-0.66,469484.5,0.0,True,-0.74
1196,1275.0,524.0,-0.08,0.2,0.28,276084.0,0.0,True,1.0
1197,1275.0,524.0,-0.03,0.07,0.1,326694.0,0.48,False,0.35
1198,1275.0,524.0,-0.01,0.03,0.04,336485.5,0.78,False,0.04
1199,1275.0,524.0,-0.01,0.02,0.03,332932.5,0.77,False,0.01
1200,1275.0,524.0,-0.03,0.07,0.09,317470.0,0.1,False,0.1
1201,1275.0,524.0,0.05,-0.12,-0.16,362066.5,0.01,True,-0.17
1202,1275.0,524.0,0.17,-0.42,-0.59,446983.5,0.0,True,-0.98
1203,1275.0,524.0,-0.01,0.03,0.04,336483.5,0.79,False,0.03
1204,1275.0,524.0,-0.16,0.38,0.54,230877.5,0.0,True,1.46
1205,1275.0,524.0,-0.2,0.49,0.69,205591.0,0.0,True,1.0
1208,1275.0,524.0,-0.02,0.06,0.09,326704.0,0.45,False,0.1
1209,1275.0,524.0,-0.03,0.08,0.11,315368.0,0.05,True,0.14
1210,1275.0,524.0,-0.0,0.01,0.02,327136.0,0.52,False,0.03
1211,1275.0,524.0,-0.13,0.31,0.43,250908.0,0.0,True,1.34
1212,1275.0,524.0,0.01,-0.01,-0.02,335581.5,0.87,False,-0.02
1213,1275.0,524.0,-0.03,0.07,0.1,331159.5,0.06,False,0.01
1214,1275.0,524.0,0.02,-0.04,-0.06,337709.5,0.65,False,-0.14
1215,1275.0,524.0,-0.08,0.18,0.26,281206.5,0.0,True,0.45
1216,1275.0,524.0,-0.14,0.34,0.48,259337.5,0.0,True,0.52
1218,1275.0,524.0,-0.02,0.05,0.07,332922.0,0.31,False,0.01
1219,1275.0,524.0,-0.08,0.19,0.27,276607.5,0.0,True,0.23
1220,1153.0,646.0,-0.3,0.54,0.84,213898.0,0.0,True,2.12
1221,1153.0,646.0,-0.27,0.48,0.75,208180.5,0.0,True,1.32
1222,1153.0,646.0,-0.03,0.06,0.09,337561.5,0.0,False,0.22
1223,1153.0,646.0,0.02,-0.04,-0.06,378069.0,0.64,False,-0.4
1224,1153.0,646.0,0.12,-0.21,-0.33,442008.0,0.0,True,-0.71
1226,1153.0,646.0,-0.19,0.34,0.53,258899.5,0.0,True,0.89
1227,1153.0,646.0,0.18,-0.31,-0.49,476973.5,0.0,True,-1.59
1229,1153.0,646.0,-0.14,0.25,0.39,290681.0,0.0,True,1.09
1230,1153.0,646.0,-0.26,0.46,0.72,227371.5,0.0,True,4.1
1231,1153.0,646.0,-0.29,0.51,0.8,221747.0,0.0,True,4.46
1232,1153.0,646.0,-0.26,0.46,0.71,227887.5,0.0,True,1.28
1233,1153.0,646.0,-0.26,0.46,0.71,215819.5,0.0,True,1.03
1234,1153.0,646.0,0.14,-0.25,-0.39,454143.0,0.0,True,-1.18
