Method,MI
Observed,0.5817441900039547
Observed,0.4793418200352192
Observed,0.5491493970855165
Observed,0.5055355002707228
Observed,0.49625337089806726
Observed,0.5895731483175533
Observed,0.48532421547101057
Observed,0.5323703319805533
Observed,0.5140671711823996
Observed,0.5727962458867027
Observed,0.566815931429133
Observed,0.5331537780875606
Observed,0.5946833501601756
Observed,0.5206177260711503
Observed,0.4688948494794502
Observed,0.5628332722866168
Observed,0.5571261281608813
Observed,0.523482438514614
Observed,0.5259162718592453
Observed,0.5447631524298359
Observed,0.5889391391667573
Observed,0.5241685861665367
Observed,0.542714656056009
Observed,0.45690653747804677
Observed,0.5073997405729248
Observed,0.4946386642254229
Observed,0.5396244307119095
Observed,0.5581781049653065
Observed,0.4850807909022215
Observed,0.5646902011317958
Observed,0.5493486130420049
Observed,0.46265322980550244
Observed,0.5923695246202194
Observed,0.5144892910950403
Observed,0.5821935638944269
Observed,0.6004192857132171
Observed,0.6096893137897132
Observed,0.5403774544768525
Observed,0.5959697308555305
Observed,0.5291050339995458
Observed,0.5074254827160225
Observed,0.48338719683211107
Observed,0.5386881233357755
Observed,0.5527640438886804
Observed,0.5879567109441424
Observed,0.5956544812163692
Observed,0.5060083736389733
Observed,0.4827074174877933
Observed,0.5242769754001667
Observed,0.5484915422695967
Observed,0.5203462467747042
Observed,0.520705544655371
Observed,0.563332470372576
Observed,0.45322398498569155
Observed,0.5494722406753786
Observed,0.535824163852168
Observed,0.5433062107594167
Observed,0.5119978141265189
Observed,0.48140876513302233
Observed,0.5581221046707874
Observed,0.5192335070285519
Observed,0.5327404765125678
Observed,0.5609243767963765
Observed,0.5451525313774952
Observed,0.5031368989176149
Observed,0.5718462134837895
Observed,0.5261756726021899
Observed,0.5085822110021674
Observed,0.5552529435161057
Observed,0.5151890391355408
Observed,0.5724712300036556
Observed,0.5368383566862136
Observed,0.5214931617842996
Observed,0.55207128894374
Observed,0.5854997489688656
Observed,0.49642711464390565
Observed,0.5890776300265268
Observed,0.49894318306330027
Observed,0.5379710637833733
Observed,0.5132464598038553
Observed,0.46485935628910424
Observed,0.6036258906029386
Observed,0.564334633458762
Observed,0.5194575453215411
Observed,0.5282090008913877
Observed,0.5696678456902923
Observed,0.533477198114893
Observed,0.5320402126467868
Observed,0.5254471336949771
Observed,0.5430192125142287
Observed,0.5821860796653351
Observed,0.5688075993467145
Observed,0.5906398256776408
Observed,0.5689961688093716
Observed,0.5474601659532492
Observed,0.5689065511520298
Observed,0.5302095726880578
Observed,0.5503442424139432
Observed,0.5070152514952969
Observed,0.5449672356282063
Observed,0.5038970818196107
Observed,0.5263314856251424
Observed,0.4462015699130743
Observed,0.5325281019298956
Observed,0.5153290286937251
Observed,0.5193678720754306
Observed,0.522392470769175
Observed,0.5445117345589785
Observed,0.5734744128272986
Observed,0.5273491306601397
Observed,0.5256744908961031
Observed,0.5439199553674301
Observed,0.5446559056377962
Observed,0.5288435749657581
Observed,0.4936734599827685
Observed,0.543272519018499
Observed,0.5128326889837928
Observed,0.5251753509564087
Observed,0.5406667609164414
Observed,0.5383741674266265
Observed,0.5630707096601483
Observed,0.5699631881085596
Observed,0.49028481643218114
Observed,0.5298381141501897
Observed,0.465087820203139
Observed,0.5438893942349992
Observed,0.48490827183489554
Observed,0.6028414508610667
Observed,0.5458621221588681
Observed,0.4939250906078063
Observed,0.48055311677095675
Observed,0.5502540955982582
Observed,0.5356780465741343
Observed,0.5274430248074597
Observed,0.533667144421279
