pop_true,shuffle,session_name,window,window_start,window_stop
0.4746687782065722,0.47492044058539384,hamilton_14,0.3 - 0.4,0.4,0.4
0.6731498897975868,0.47372622329203956,hamilton_23,0.3 - 0.4,0.4,0.4
0.5933074759524665,0.4737940103050955,hamilton_07,0.3 - 0.4,0.4,0.4
0.7403257496606198,0.47385509039311025,hamilton_08,0.3 - 0.4,0.4,0.4
0.605918366367946,0.47373463729139614,hamilton_19,0.3 - 0.4,0.4,0.4
0.7648963788239442,0.47392885028282855,hamilton_20,0.3 - 0.4,0.4,0.4
0.48051157693118257,0.47376045566924385,hamilton_01,0.4 - 0.5,0.5,0.5
0.5171815213046811,0.47375382623064155,hamilton_02,0.4 - 0.5,0.5,0.5
0.4735052978960095,0.4737711884801985,hamilton_13,0.4 - 0.5,0.5,0.5
0.47645544644176707,0.4737088240910895,hamilton_14,0.4 - 0.5,0.5,0.5
0.7426416435635564,0.4737171978720568,hamilton_23,0.4 - 0.5,0.5,0.5
0.48959189945202264,0.4736946068366781,hamilton_07,0.4 - 0.5,0.5,0.5
0.7536637307395802,0.4738373934871297,hamilton_08,0.4 - 0.5,0.5,0.5
0.5433611291231099,0.4738398559784879,hamilton_19,0.4 - 0.5,0.5,0.5
0.6806420434185009,0.473755766038972,hamilton_20,0.4 - 0.5,0.5,0.5
0.4850352028235164,0.4737011727690066,hamilton_01,0.5 - 0.6,0.6,0.6
0.4897827261351626,0.4739279802362105,hamilton_02,0.5 - 0.6,0.6,0.6
0.4735123689322255,0.47387593416340595,hamilton_13,0.5 - 0.6,0.6,0.6
0.4778279064320362,0.4778037157645498,hamilton_14,0.5 - 0.6,0.6,0.6
0.6934640684694802,0.473849433743317,hamilton_23,0.5 - 0.6,0.6,0.6
0.486852666565452,0.4738684570233308,hamilton_07,0.5 - 0.6,0.6,0.6
0.6972747192206161,0.47385765427166443,hamilton_08,0.5 - 0.6,0.6,0.6
0.5171246122843985,0.47387993617227675,hamilton_19,0.5 - 0.6,0.6,0.6
0.7649570033132499,0.47381896421693664,hamilton_20,0.5 - 0.6,0.6,0.6
0.4788891217829674,0.47369778849261973,hamilton_01,0.6 - 0.7,0.7,0.7
0.4737129406167277,0.4739079805775207,hamilton_02,0.6 - 0.7,0.7,0.7
0.47362110845118,0.47373679979504574,hamilton_13,0.6 - 0.7,0.7,0.7
0.4801304460832664,0.48011495400300436,hamilton_14,0.6 - 0.7,0.7,0.7
0.5881527020642754,0.4737693243710334,hamilton_23,0.6 - 0.7,0.7,0.7
0.4731925360367093,0.47376475250519007,hamilton_07,0.6 - 0.7,0.7,0.7
0.5805587443047252,0.473729207369485,hamilton_08,0.6 - 0.7,0.7,0.7
0.4875347142073685,0.47380748273181333,hamilton_19,0.6 - 0.7,0.7,0.7
0.598791574201863,0.47380746461886486,hamilton_20,0.6 - 0.7,0.7,0.7
0.4735252442000151,0.47373977802659006,hamilton_01,0.7 - 0.8,0.8,0.8
0.4738325419045126,0.474042640688384,hamilton_02,0.7 - 0.8,0.8,0.8
0.47367689172380895,0.473712886593462,hamilton_13,0.7 - 0.8,0.8,0.8
0.47938042737169634,0.4793891891791078,hamilton_14,0.7 - 0.8,0.8,0.8
0.5120931979689592,0.47381122170272233,hamilton_23,0.7 - 0.8,0.8,0.8
0.47527761526508333,0.47379711770476984,hamilton_07,0.7 - 0.8,0.8,0.8
0.5032827153414097,0.4738260888671371,hamilton_08,0.7 - 0.8,0.8,0.8
0.4893516593477484,0.47369282753540537,hamilton_19,0.7 - 0.8,0.8,0.8
0.5498948356913144,0.4739548864957943,hamilton_20,0.7 - 0.8,0.8,0.8
0.4735719338687338,0.4737361493645161,hamilton_01,0.8 - 0.9,0.9,0.9
0.4780459804868693,0.4739506418710547,hamilton_02,0.8 - 0.9,0.9,0.9
0.47738229831046314,0.47371416442211955,hamilton_13,0.8 - 0.9,0.9,0.9
0.4782503486949838,0.47823868737311587,hamilton_14,0.8 - 0.9,0.9,0.9
0.48161082071565015,0.47371434638487436,hamilton_23,0.8 - 0.9,0.9,0.9
0.47766344470092503,0.4737904279222753,hamilton_07,0.8 - 0.9,0.9,0.9
0.4872284580438805,0.4738690937070848,hamilton_08,0.8 - 0.9,0.9,0.9
0.4871357031241331,0.47377712522997845,hamilton_19,0.8 - 0.9,0.9,0.9
0.5419155239497216,0.4739013455964879,hamilton_20,0.8 - 0.9,0.9,0.9
0.473693337814571,0.473703742272216,hamilton_01,0.9 - 1.0,1.0,1.0
0.47404210004082553,0.4743827539171599,hamilton_02,0.9 - 1.0,1.0,1.0
0.4736268381726493,0.4737249785845287,hamilton_13,0.9 - 1.0,1.0,1.0
0.47752290805753156,0.477510079051758,hamilton_14,0.9 - 1.0,1.0,1.0
0.47345801059153575,0.47381979119196016,hamilton_23,0.9 - 1.0,1.0,1.0
0.4736131957759164,0.4737102889815794,hamilton_07,0.9 - 1.0,1.0,1.0
0.48076899202566886,0.4737450088001889,hamilton_08,0.9 - 1.0,1.0,1.0
0.4848365700165087,0.4737274659714427,hamilton_19,0.9 - 1.0,1.0,1.0
0.4729933539066292,0.4740318846850054,hamilton_20,0.9 - 1.0,1.0,1.0
0.4736283912089078,0.4737769069704777,hamilton_01,1.0 - 1.1,1.1,1.1
0.4739437270760959,0.4741444505340557,hamilton_02,1.0 - 1.1,1.1,1.1
0.4736765715422629,0.47380573432435263,hamilton_13,1.0 - 1.1,1.1,1.1
0.47812304091725066,0.47812642131074234,hamilton_14,1.0 - 1.1,1.1,1.1
