neuron_id,F1 Score,session_name,window,window_start,window_stop
1293,0.4736611294299169,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1294,0.473662804909874,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1296,0.4736651606561094,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1299,0.47367098853216544,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1301,0.47366239914212993,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1302,0.4736703439599765,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1303,0.4736676245144829,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1304,0.4736617303733956,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1305,0.47366671012260275,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1306,0.4736733986306517,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1310,0.47366591743566033,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1311,0.47366660716438236,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1312,0.47366920814272573,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1314,0.4736706371207401,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1315,0.4736636469981268,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1316,0.47366484831960454,hamilton_23,-0.5 - -0.4,-0.4,-0.4
1317,0.4736698213312069,hamilton_23,-0.5 - -0.4,-0.4,-0.4
